student_id,school_code,year,term,grade,course_id,course_title,mark,credits_attempted,credits_completed
559552,7,2022-2023,1,9,11110,English 1,A-,5.00,5.00
559552,7,2022-2023,1,9,13010,PE 9th,A,5.00,5.00
559552,7,2022-2023,1,9,13540,Biology,A,5.00,5.00
559552,7,2022-2023,1,9,14057,Int Math 3 STEM,A,5.00,5.00
559552,7,2022-2023,1,9,14650,Spanish 1,A,5.00,5.00
559552,7,2022-2023,1,9,15995,Comp Sci PLTW,A,5.00,5.00
559552,7,2022-2023,1,9,17520,Concert Band,A,5.00,5.00
559552,7,2022-2023,2,9,11110,English 1,A,5.00,5.00
559552,7,2022-2023,2,9,13010,PE 9th,A,5.00,5.00
559552,7,2022-2023,2,9,13540,Biology,A,5.00,5.00
559552,7,2022-2023,2,9,14057,Int Math 3 STEM,A,5.00,5.00
559552,7,2022-2023,2,9,14650,Spanish 1,A,5.00,5.00
559552,7,2022-2023,2,9,15995,Comp Sci PLTW,A,5.00,5.00
559552,7,2022-2023,2,9,17520,Concert Band,A,5.00,5.00
559552,7,2023-2024,1,10,11410,English 2H,A,5.00,5.00
559552,7,2023-2024,1,10,12010,World History,A,5.00,5.00
559552,7,2023-2024,1,10,13600,AP Chemistry,A-,5.00,5.00
559552,7,2023-2024,1,10,14110,AP Comp Sci A,A,5.00,5.00
559552,7,2023-2024,1,10,14210,AP Calculus AB,A,5.00,5.00
559552,7,2023-2024,1,10,14660,Spanish 2,A,5.00,5.00
559552,7,2023-2024,1,10,17650,Wind Ensemble,A,5.00,5.00
559552,7,2023-2024,2,10,11410,English 2H,A,5.00,5.00
559552,7,2023-2024,2,10,12010,World History,A,5.00,5.00
559552,7,2023-2024,2,10,13600,AP Chemistry,A-,5.00,5.00
559552,7,2023-2024,2,10,14110,AP Comp Sci A,A,5.00,5.00
559552,7,2023-2024,2,10,14210,AP Calculus AB,A,5.00,5.00
559552,7,2023-2024,2,10,14660,Spanish 2,A,5.00,5.00
559552,7,2023-2024,2,10,17650,Wind Ensemble A,5.00,5.00,ï„†
559552,7,2024-2025,1,11,11190,AP Eng Lan & Com,A,5.00,5.00
559552,7,2024-2025,1,11,12100,US History,A,5.00,5.00
559552,7,2024-2025,1,11,13712,AP Physics 2,A,5.00,5.00
559552,7,2024-2025,1,11,14170,AP Statistics,A,5.00,5.00
559552,7,2024-2025,1,11,14220,AP Calculus BC,A,5.00,5.00
559552,7,2024-2025,1,11,14670,Spanish 3,A,5.00,5.00
559552,7,2024-2025,1,11,17650,Wind Ensemble,A,5.00,5.00
559552,7,2024-2025,2,11,11190,AP Eng Lan & Com,A,5.00,5.00
559552,7,2024-2025,2,11,12100,US History,A,5.00,5.00
559552,7,2024-2025,2,11,13712,AP Physics 2,A,5.00,5.00
559552,7,2024-2025,2,11,14170,AP Statistics,A,5.00,5.00
559552,7,2024-2025,2,11,14220,AP Calculus BC,A,5.00,5.00
559552,7,2024-2025,2,11,14670,Spanish 3,A,5.00,5.00
559552,7,2024-2025,2,11,17650,Wind Ensemble,A,5.00,5.00
